cell,site,date,night,CORRAF,CORTOW,EPTFUS,LASBOR,LASCIN,LASINT,LASNOC,MYOAUS,MYOGRI,MYOLEI,MYOLUC,MYOSEP,MYOSOD,NYCHUM,PERSUB,TADBRA
cell-12,C12-S3,20170611,night2,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1
cell-12,C12-S3,20170612,night3,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1
cell-12,C12-S3,20170613,night4,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
cell-12,C12-S4,20160609,night1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1
cell-12,C12-S4,20160610,night2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
cell-12,C12-S4,20160611,night3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
cell-12,C12-S4,20160612,night4,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0
cell-12,C12-S4,20170610,night1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1
cell-12,C12-S4,20170611,night2,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
cell-12,C12-S4,20170612,night3,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1
cell-12,C12-S4,20170613,night4,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
cell-12,C12-S5,20210601,night1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
cell-12,C12-S5,20210602,night2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
cell-12,C12-S5,20210603,night3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
cell-12,C12-S5,20210604,night4,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0
cell-12,C12-S5,20200605,night1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cell-12,C12-S5,20200606,night2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
cell-12,C12-S5,20200607,night3,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0
cell-12,C12-S5,20200608,night4 ,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
Cell-12,C12-S5,20190529,night1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Cell-12,C12-S5,20190530,night2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1
Cell-12,C12-S5,20190531,night3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
Cell-12,C12-S5,20190601,night4 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell-12,C12-S5,20180609,night1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
cell-12,C12-S5,20180610,night2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
cell-12,C12-S5,20180611,night3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
