id,date,site_code,name,latitude,longitude,distance,prcp,tmax,tmin,tavg
USC00319100,2015-06-06,C18-S3,WASHINGTON WWTP 4W,35.5525,-77.0722,4.909664010954685,0,28.3,16.7,22.5
USC00319100,2015-06-06,C18-S2,WASHINGTON WWTP 4W,35.5525,-77.0722,3.889096133963335,0,28.3,16.7,22.5
USC00319100,2015-06-07,C18-S3,WASHINGTON WWTP 4W,35.5525,-77.0722,4.909664010954685,0,26.7,16.7,21.7
USC00319100,2015-06-07,C18-S4,WASHINGTON WWTP 4W,35.5525,-77.0722,11.531196075076656,0,26.7,16.7,21.7
USC00319100,2015-06-07,C18-S2,WASHINGTON WWTP 4W,35.5525,-77.0722,3.889096133963335,0,26.7,16.7,21.7
USC00319100,2015-06-07,C18-S1,WASHINGTON WWTP 4W,35.5525,-77.0722,2.1492521326727982,0,26.7,16.7,21.7
USC00319100,2015-06-08,C18-S2,WASHINGTON WWTP 4W,35.5525,-77.0722,3.889096133963335,0,28.9,14.4,21.65
USC00319100,2015-06-08,C18-S3,WASHINGTON WWTP 4W,35.5525,-77.0722,4.909664010954685,0,28.9,14.4,21.65
USC00319100,2015-06-08,C18-S1,WASHINGTON WWTP 4W,35.5525,-77.0722,2.1492521326727982,0,28.9,14.4,21.65
USC00319100,2015-06-08,C18-S4,WASHINGTON WWTP 4W,35.5525,-77.0722,11.531196075076656,0,28.9,14.4,21.65
USC00319357,2015-07-09,C13-S3,WHITEVILLE 7 NW,34.4094,-78.7914,11.346776333509423,1.3,33.3,22.2,27.75
USC00319357,2015-07-09,C13-S2,WHITEVILLE 7 NW,34.4094,-78.7914,11.253174478950069,1.3,33.3,22.2,27.75
USC00319357,2015-07-10,C13-S3,WHITEVILLE 7 NW,34.4094,-78.7914,11.346776333509423,0,34.4,22.2,28.299999999999997
USC00319357,2015-07-10,C13-S2,WHITEVILLE 7 NW,34.4094,-78.7914,11.253174478950069,0,34.4,22.2,28.299999999999997
USC00319357,2015-07-11,C13-S2,WHITEVILLE 7 NW,34.4094,-78.7914,11.253174478950069,0,35.6,23.3,29.450000000000003
USC00319357,2015-07-11,C13-S3,WHITEVILLE 7 NW,34.4094,-78.7914,11.346776333509423,0,35.6,23.3,29.450000000000003
USC00319357,2015-07-12,C13-S2,WHITEVILLE 7 NW,34.4094,-78.7914,11.253174478950069,0,35,21.1,28.05
USC00319357,2015-07-12,C13-S3,WHITEVILLE 7 NW,34.4094,-78.7914,11.346776333509423,0,35,21.1,28.05
USC00319467,2015-07-09,C19-S3,WILMINGTON 7 N,34.3208,-77.9206,7.053940952277941,0,32.2,24.4,28.3
USC00319467,2015-07-10,C19-S3,WILMINGTON 7 N,34.3208,-77.9206,7.053940952277941,0,35,24.4,29.7
USC00319467,2015-07-11,C19-S3,WILMINGTON 7 N,34.3208,-77.9206,7.053940952277941,0,36.7,25,30.85
USC00319467,2015-07-12,C19-S3,WILMINGTON 7 N,34.3208,-77.9206,7.053940952277941,0,35.6,23.9,29.75
USR0000NBUS,2015-06-26,C39-S4,BUSICK NORTH CAROLINA,35.7694,-82.1917,4.525783423105147,NA,32.8,15.6,24.2
USR0000NBUS,2015-06-27,C39-S4,BUSICK NORTH CAROLINA,35.7694,-82.1917,4.525783423105147,NA,27.2,16.1,21.65
USR0000NBUS,2015-06-28,C39-S4,BUSICK NORTH CAROLINA,35.7694,-82.1917,4.525783423105147,NA,25.6,11.1,18.35
USR0000NBUS,2015-06-29,C39-S4,BUSICK NORTH CAROLINA,35.7694,-82.1917,4.525783423105147,NA,25.6,9.4,17.5
USR0000NFBR,2015-06-17,C2-S3,FORT BRAGG NORTH CAROLINA,35.1397,-79.0644,16.650199684807312,NA,37.8,25,31.4
USR0000NFBR,2015-06-17,C2-S2,FORT BRAGG NORTH CAROLINA,35.1397,-79.0644,18.171675035934314,NA,37.8,25,31.4
USR0000NFBR,2015-06-18,C2-S3,FORT BRAGG NORTH CAROLINA,35.1397,-79.0644,16.650199684807312,NA,38.9,22.8,30.85
USR0000NFBR,2015-06-18,C2-S2,FORT BRAGG NORTH CAROLINA,35.1397,-79.0644,18.171675035934314,NA,38.9,22.8,30.85
USR0000NFBR,2015-06-19,C2-S2,FORT BRAGG NORTH CAROLINA,35.1397,-79.0644,18.171675035934314,NA,37.8,21.1,29.45
USR0000NFBR,2015-06-19,C2-S3,FORT BRAGG NORTH CAROLINA,35.1397,-79.0644,16.650199684807312,NA,37.8,21.1,29.45
USR0000NFBR,2015-06-20,C2-S3,FORT BRAGG NORTH CAROLINA,35.1397,-79.0644,16.650199684807312,NA,35,20.6,27.8
USR0000NFBR,2015-06-20,C2-S2,FORT BRAGG NORTH CAROLINA,35.1397,-79.0644,18.171675035934314,NA,35,20.6,27.8
USR0000NGRF,2015-06-26,C39-S2,GRANDFATHER NORTH CAROLINA,35.7564,-82.0439,2.575763423809304,NA,36.1,18.3,27.200000000000003
USR0000NGRF,2015-06-26,C39-S3,GRANDFATHER NORTH CAROLINA,35.7564,-82.0439,2.1110642751310467,NA,36.1,18.3,27.200000000000003
USR0000NGRF,2015-06-27,C39-S3,GRANDFATHER NORTH CAROLINA,35.7564,-82.0439,2.1110642751310467,NA,30,19.4,24.7
USR0000NGRF,2015-06-27,C39-S2,GRANDFATHER NORTH CAROLINA,35.7564,-82.0439,2.575763423809304,NA,30,19.4,24.7
USR0000NGRF,2015-06-28,C39-S2,GRANDFATHER NORTH CAROLINA,35.7564,-82.0439,2.575763423809304,NA,28.9,15,21.95
USR0000NGRF,2015-06-28,C39-S3,GRANDFATHER NORTH CAROLINA,35.7564,-82.0439,2.1110642751310467,NA,28.9,15,21.95
USR0000NGRF,2015-06-29,C39-S2,GRANDFATHER NORTH CAROLINA,35.7564,-82.0439,2.575763423809304,NA,30.6,13.3,21.950000000000003
USR0000NGRF,2015-06-29,C39-S3,GRANDFATHER NORTH CAROLINA,35.7564,-82.0439,2.1110642751310467,NA,30.6,13.3,21.950000000000003
USR0000NRCK,2015-06-17,C37-S1,ROCKINGHAM NORTH CAROLINA,34.96,-79.69,8.51760388823768,NA,38.9,22.8,30.85
USR0000NRCK,2015-06-17,C37-S4,ROCKINGHAM NORTH CAROLINA,34.96,-79.69,7.129886057371495,NA,38.9,22.8,30.85
USR0000NRCK,2015-06-18,C37-S1,ROCKINGHAM NORTH CAROLINA,34.96,-79.69,8.51760388823768,NA,38.9,22.8,30.85
USR0000NRCK,2015-06-18,C37-S4,ROCKINGHAM NORTH CAROLINA,34.96,-79.69,7.129886057371495,NA,38.9,22.8,30.85
USR0000NRCK,2015-06-19,C37-S1,ROCKINGHAM NORTH CAROLINA,34.96,-79.69,8.51760388823768,NA,37.2,21.7,29.450000000000003
USR0000NRCK,2015-06-19,C37-S4,ROCKINGHAM NORTH CAROLINA,34.96,-79.69,7.129886057371495,NA,37.2,21.7,29.450000000000003
USR0000NRCK,2015-06-20,C37-S1,ROCKINGHAM NORTH CAROLINA,34.96,-79.69,8.51760388823768,NA,37.8,21.1,29.45
USR0000NRCK,2015-06-20,C37-S4,ROCKINGHAM NORTH CAROLINA,34.96,-79.69,7.129886057371495,NA,37.8,21.1,29.45
USR0000NSUN,2015-07-09,C46-S2,SUNNY POINT NORTH CAROLINA,34.0028,-77.9581,5.398410239352115,NA,32.8,25.6,29.2
USR0000NSUN,2015-07-10,C46-S2,SUNNY POINT NORTH CAROLINA,34.0028,-77.9581,5.398410239352115,NA,36.7,25,30.85
USR0000NSUN,2015-07-11,C46-S2,SUNNY POINT NORTH CAROLINA,34.0028,-77.9581,5.398410239352115,NA,35.6,23.3,29.450000000000003
USR0000NSUN,2015-07-12,C46-S2,SUNNY POINT NORTH CAROLINA,34.0028,-77.9581,5.398410239352115,NA,32.2,21.1,26.650000000000002
USR0000NUWH,2015-07-04,C20-S1,UWHARRIE (TROY) NORTH CAROLINA,35.3667,-79.8667,1.3501387061927546,NA,30,20.6,25.3
USR0000NUWH,2015-07-04,C65-S2,UWHARRIE (TROY) NORTH CAROLINA,35.3667,-79.8667,10.69193004413102,NA,30,20.6,25.3
USR0000NUWH,2015-07-04,C20-S3,UWHARRIE (TROY) NORTH CAROLINA,35.3667,-79.8667,9.135946696605679,NA,30,20.6,25.3
